Material compositions joined,NdUnfilled_min_value,MendeleevNumber_composition_average,MeltingT_difference,AtomicVolume_difference,MendeleevNumber_max_value,valence_max_value,BCCenergy_pa_max_value,HeatVaporization_max_value,HeatFusion_difference,ThermalExpansionCoefficient_difference,MiracleRadius_min_value,NdUnfilled_composition_average,ICSDVolume_min_value,HeatFusion_max_value
AlAl,-0.8555,1.3183,-1.2718,-1.0479,0.6299,-1.1975,0.653,-1.1284,-1.0995,-0.7904,0.6211,-1.2566,0.5527,-1.1194
AlAg,-0.8555,0.9512,-0.8702,-0.9755,0.6299,-1.1975,0.653,-1.1284,-1.0523,-0.4897,0.6211,-1.2566,0.5527,-1.078
AlAs,-0.8555,1.8231,-1.0633,-0.2759,1.7375,0.0758,0.653,-1.1284,-0.0009,-0.2392,-1.5753,-1.2566,0.5527,-0.1548
AlAu,-0.8555,0.9971,-0.7338,-0.9948,0.6299,-1.1975,0.653,-0.8901,-0.9522,-0.1533,0.6211,-1.2566,0.5527,-0.9901
AlBi,-0.8555,1.9149,-0.7535,1.795,1.9389,0.0758,0.653,-1.1284,-1.0678,-0.096,0.6211,-1.2566,0.5527,-1.0916
AlCa,-0.8555,-1.7105,-1.03,2.9168,0.6299,-1.1975,0.653,-1.1284,-0.9258,-0.7331,0.6211,-1.2566,0.5527,-1.1194
AlCd,-0.8555,1.1807,-0.8199,-0.2975,0.6299,-1.1975,0.653,-1.1284,-0.7394,-0.2392,0.6211,-1.2566,0.5527,-1.1194
AlCe,2.3173,-1.3434,-1.0886,1.6898,0.6299,-0.5608,0.653,-0.9654,-0.6794,0.491,0.6211,1.0337,0.5527,-1.1194
AlCo,0.2021,0.63,-0.1602,-0.2053,0.6299,-1.1975,0.653,-0.544,-0.6602,-0.0674,-0.7305,-0.4932,-0.8996,-0.7337
AlCr,0.9072,0.2169,0.3886,-0.3704,0.6299,0.7125,0.653,-0.7834,-0.2762,0.5124,-0.3082,0.0158,-0.6619,-0.3965
AlCu,-0.8555,0.9053,-0.7066,-0.3308,0.6299,-1.1975,0.653,-1.0597,-0.8682,-0.3179,-0.6461,-1.2566,-0.7148,-0.9164
AlEr,-0.8555,-0.4256,-0.1575,1.0654,0.6299,-1.1975,0.653,-1.1136,-0.3642,0.1903,0.6211,-1.2566,0.5527,-0.4737
AlFe,0.5546,0.4923,-0.1029,-0.3229,0.6299,0.7125,0.653,-0.7126,-0.8514,0.0185,-0.7305,-0.2387,-0.7412,-0.9016
AlGa,-0.8555,1.3642,-0.4319,-0.594,0.7306,-1.1975,0.653,-1.1284,-0.6894,-0.547,0.0298,-1.2566,0.5527,-1.1194
AlGe,-0.8555,1.5937,-0.9016,-0.1349,1.234,-0.5608,0.653,-0.8202,0.9992,0.4552,-1.6598,-1.2566,0.5527,0.7235
AlHf,1.9648,0.0334,0.8229,-0.1939,0.6299,-0.5608,0.653,1.4945,0.2199,0.4409,0.6211,0.7792,0.5527,0.0391
AlHg,-0.8555,1.2265,-0.3405,0.1587,0.6299,-1.1975,0.653,-1.1284,-0.4262,1.0636,0.6211,-1.2566,0.5527,-1.1194
AlIn,-0.8555,1.4101,-0.6008,0.3801,0.8313,-1.1975,0.653,-1.1284,-0.5059,-0.1461,0.6211,-1.2566,0.5527,-1.1194
AlIr,0.2021,0.7217,1.1332,-0.6798,0.6299,-1.1975,0.653,0.8039,1.3336,0.4051,0.1987,-0.4932,-0.1867,1.0172
AlLa,2.3173,-1.4352,-0.9261,2.1031,0.6299,-1.1975,0.653,-0.3579,-0.7386,0.491,0.6211,1.0337,0.5527,-1.1194
AlMg,-0.8555,1.0889,-1.2578,-0.0504,0.6299,-1.1975,0.653,-1.1284,-0.921,-0.6687,0.6211,-1.2566,0.5527,-1.1194
AlMn,0.9072,0.3546,-0.4918,-0.3884,0.6299,1.3491,0.653,-1.1284,-0.9234,-0.6901,-0.1392,0.0158,-0.6091,-0.9649
AlMo,0.9072,0.2628,1.3423,-0.8833,0.6299,0.7125,0.653,0.9939,1.0424,0.5196,0.4522,0.0158,0.2622,0.7614
AlNa,-0.8555,-1.94,-0.5224,2.3902,0.6299,-1.1975,0.653,-1.1284,-0.4506,2.6384,0.6211,-1.2566,0.5527,-1.1194
AlNb,1.2597,0.1251,1.1479,-0.836,0.6299,0.0758,0.653,1.7002,0.4439,0.3406,0.6211,0.2703,0.5527,0.2359
AlNd,-0.8555,-1.1598,-0.7915,1.5971,0.6299,-1.1975,0.653,-1.1284,-0.8138,0.3693,0.6211,-1.2566,0.5527,-1.1194
AlNi,-0.1505,0.7676,-0.2134,-0.1971,0.6299,-1.1975,0.653,-0.5142,-0.5578,-0.096,-0.6461,-0.7476,-0.9788,-0.6438
AlOs,0.5546,0.5841,1.8885,-0.655,0.6299,1.9858,0.653,1.2574,2.6721,0.4981,0.1142,-0.2387,-0.1867,2.1926
AlP,-0.8555,1.7772,-0.451,0.7009,1.6368,0.0758,0.653,-1.1284,-0.473,6.6471,-2.6736,-1.2566,0.5527,-0.5693
AlPb,-0.8555,1.6855,-0.8284,1.0211,1.4354,-0.5608,0.653,-1.1284,-0.6245,-0.3823,0.6211,-1.2566,0.5527,-1.1194
AlPd,-0.8555,0.8135,-0.0802,-0.7625,0.6299,-0.5608,0.653,-0.4023,-0.617,0.0185,0.6211,-1.2566,0.051,-0.6958
AlPt,-0.503,0.8594,0.204,-0.8622,0.6299,-0.5608,0.653,0.4276,-0.1822,0.2333,0.4522,-1.0021,0.1566,-0.3139
AlRe,0.9072,0.4464,2.0922,-0.7643,0.6299,1.3491,0.653,1.8206,0.7703,0.4194,0.2832,0.0158,0.051,0.5225
AlRh,-0.1505,0.6758,0.4645,-0.6161,0.6299,0.7125,0.653,0.3209,0.1711,0.2762,-0.1392,-0.7476,-0.794,-0.0037
AlRu,0.2021,0.5382,0.9574,-0.5924,0.6299,1.9858,0.653,0.8336,1.1312,0.4051,0.0298,-0.4932,-0.1339,0.8394
AlS,-0.8555,2.0067,-0.5457,0.5432,2.1402,0.7125,0.653,-1.1284,-0.3803,2.5669,-2.5891,-1.2566,0.5527,-1.1194
AlSb,-0.8555,1.869,-1.2322,0.9985,1.8382,0.0758,0.653,-1.1284,-0.373,0.0758,0.6211,-1.2566,0.5527,-0.4815
AlSc,2.3173,-1.527,-0.0989,0.2186,0.6299,-1.1975,0.653,-1.0292,-0.8282,0.1474,0.6211,1.0337,0.5527,-0.8812
AlSe,-0.8555,2.0526,-0.6864,0.5496,2.2409,0.7125,0.653,-1.1284,-0.7778,0.7773,-1.3219,-1.2566,0.5527,-1.1194
AlSi,-0.8555,1.5478,-0.2681,-0.5329,1.1333,-0.5608,0.653,-0.6453,2.0609,0.6771,-1.9977,-1.2566,0.5527,1.6558
AlSn,-0.8555,1.6396,-0.7011,0.5132,1.3347,-0.5608,0.653,-1.1284,-0.8146,-0.7116,0.6211,-1.2566,0.5527,-1.1194
AlTa,1.6122,0.171,1.8671,-0.8293,0.6299,0.0758,0.653,2.0324,0.9695,0.4122,0.6211,0.5247,0.5527,0.6975
AlTc,0.9072,0.4005,0.7216,-0.6802,0.6299,1.3491,0.653,0.3677,0.7071,0.2905,0.1987,0.0158,-0.081,0.467
AlTe,-0.8555,2.0985,-0.991,1.5652,2.3416,0.7125,0.653,-1.1284,-0.5658,-0.4826,0.5366,-1.2566,0.5527,-0.6508
AlTi,1.9648,-0.0584,0.0703,-0.8911,0.6299,-0.5608,0.653,-0.1763,-0.8242,0.2476,0.6211,0.7792,0.5527,-0.8777
AlTl,-0.8555,1.456,-0.7969,0.7651,0.932,-1.1975,0.653,-1.1284,-0.574,-0.3036,0.6211,-1.2566,0.5527,-1.1194
AlV,1.6122,0.0793,0.3926,-0.6341,0.6299,0.0758,0.653,-0.024,-0.2362,0.2619,0.0298,0.5247,-0.1867,-0.3613
AlW,1.2597,0.3087,2.4066,-0.9372,0.6299,0.7125,0.653,-0.1949,2.2289,0.5411,0.1142,0.2703,0.3414,1.8033
AlY,2.3173,-1.4811,-0.1189,1.4232,0.6299,-1.1975,0.653,-0.4023,-1.045,0.0543,0.6211,1.0337,0.5527,-1.0716
AlZn,-0.8555,1.1348,-0.951,-0.8389,0.6299,-1.1975,0.653,-1.1284,-0.8081,-0.2821,0.5366,-1.2566,0.1566,-1.1194
AlZr,1.9648,-0.0125,0.3194,-0.0438,0.6299,-0.5608,0.653,0.9946,-0.2762,0.4552,0.6211,0.7792,0.5527,-0.3965
AuAu,-0.8555,0.6758,-1.2718,-1.0479,-0.075,-1.1975,0.791,-0.8901,-1.0995,-0.7904,0.7901,-1.2566,0.6319,-0.9901
AuAg,-0.8555,0.63,-1.1354,-1.0285,-0.075,-1.1975,0.791,-0.8901,-0.9994,-0.4539,0.7901,-1.2566,0.6319,-0.9901
AuCd,-0.8555,0.8594,-0.2819,-0.3506,0.3278,-1.1975,0.791,-0.8901,-0.5922,0.3979,0.7901,-1.2566,0.6319,-0.9901
AuMo,0.9072,-0.0584,0.8044,-0.8302,-0.075,0.7125,0.791,0.9939,0.8951,-0.1175,0.4522,0.0158,0.2622,0.7614
AuNb,1.2597,-0.1961,0.6099,-0.8891,-0.075,0.0758,0.791,1.7002,0.2967,-0.2964,0.7901,0.2703,0.6319,0.2359
AuPd,-0.8555,0.4923,-0.6181,-0.7095,-0.075,-0.5608,0.791,-0.4023,-0.7642,-0.6186,0.7056,-1.2566,0.051,-0.6958
AuRh,-0.1505,0.3546,-0.0734,-0.563,-0.075,0.7125,0.791,0.3209,0.0239,-0.3609,-0.1392,-0.7476,-0.794,-0.0037
AuRu,0.2021,0.2169,0.4194,-0.5393,-0.075,1.9858,0.791,0.8336,0.984,-0.232,0.0298,-0.4932,-0.1339,0.8394
AuTc,0.9072,0.0793,0.1837,-0.6271,-0.075,1.3491,0.791,0.3677,0.5599,-0.3465,0.1987,0.0158,-0.081,0.467
AuY,2.3173,-1.8023,-0.6568,1.3701,-0.075,-1.1975,0.791,-0.4023,-1.0066,-0.5828,0.7901,1.0337,0.6319,-0.9901
AuZr,1.9648,-0.3338,-0.2186,-0.0969,-0.075,-0.5608,0.791,0.9946,-0.4234,-0.1819,0.7901,0.7792,0.6319,-0.3965
CaCa,-0.8555,-4.7394,-1.2718,-1.0479,-6.0157,-1.8341,1.1636,-2.0927,-1.0995,-0.7904,5.6899,-1.2566,7.8139,-1.2719
CaAg,-0.8555,-2.0777,-1.112,2.8443,-0.1756,-1.8341,1.1636,-1.4129,-0.8786,-0.547,0.8746,-1.2566,0.6583,-1.078
CaCd,-0.8555,-1.8482,-0.5781,2.1664,0.3278,-1.8341,1.1636,-2.0927,-0.913,-0.1819,1.9728,-1.2566,1.8465,-1.2719
CaNb,1.2597,-2.9037,0.9061,2.7049,-1.9881,0.0758,1.1636,1.7002,0.6175,0.2834,0.7901,0.2703,0.9487,0.2359
CaY,2.3173,-4.5099,-0.3607,0.4457,-5.5123,-1.1975,1.1636,-0.4023,-0.8714,-0.0029,3.8313,1.0337,4.8566,-1.0716
CaZr,1.9648,-3.0414,0.0776,1.9127,-2.2902,-0.5608,1.1636,0.9946,-0.1026,0.3979,2.0573,0.7792,2.2954,-0.3965
CuCu,-0.8555,0.4923,-1.2718,-1.0479,-0.2763,-1.8341,0.6552,-1.0597,-1.0995,-0.7904,-0.6461,-1.2566,-0.7148,-0.9164
CuAg,-0.8555,0.5382,-1.1081,-0.2584,-0.1756,-1.8341,0.6552,-1.0597,-0.9154,-0.6186,-0.6461,-1.2566,-0.7148,-0.9164
CuAl,-0.8555,0.9053,-0.7066,-0.3308,0.6299,-1.1975,0.6552,-1.0597,-0.8682,-0.3179,-0.6461,-1.2566,-0.7148,-0.9164
CuAu,-0.8555,0.5841,-1.2445,-0.2777,-0.075,-1.1975,0.6552,-0.8901,-1.0154,-0.6257,-0.6461,-1.2566,-0.7148,-0.9164
CuBi,-0.8555,1.5019,-0.1884,2.512,1.9389,0.0758,0.6552,-1.0597,-0.8999,-0.5684,-0.6461,-1.2566,-0.7148,-0.9164
CuCd,-0.8555,0.7676,-0.2547,0.4195,0.3278,-1.8341,0.6552,-1.0597,-0.5082,0.2333,-0.6461,-1.2566,-0.7148,-0.9164
CuCo,0.2021,0.2169,-0.7253,-0.9224,-0.2763,-1.1975,0.6552,-0.544,-0.8914,-0.5398,-0.7305,-0.4932,-0.8996,-0.7337
CuCr,0.9072,-0.1961,-0.1766,-1.0083,-0.2763,0.7125,0.6552,-0.7834,-0.5074,0.04,-0.6461,0.0158,-0.7148,-0.3965
CuFe,0.5546,0.0793,-0.6681,-1.04,-0.2763,0.7125,0.6552,-0.7126,-1.0827,-0.4539,-0.7305,-0.2387,-0.7412,-0.9016
CuGa,-0.8555,0.9512,0.1333,0.1231,0.7306,-1.1975,0.6552,-1.0597,-0.4582,-0.5613,-0.6461,-1.2566,-0.7148,-0.9164
CuGe,-0.8555,1.1807,-1.0768,0.5822,1.234,-0.5608,0.6552,-0.8202,0.7679,-0.0173,-1.6598,-1.2566,-0.7148,0.7235
CuHf,1.9648,-0.3797,0.2577,0.5232,-0.2763,-0.5608,0.6552,1.4945,-0.0113,-0.0316,-0.6461,0.7792,-0.7148,0.0391
CuHg,-0.8555,0.8135,0.2247,0.8758,0.4285,-1.8341,0.6552,-1.0597,-0.195,1.5361,-0.6461,-1.2566,-0.7148,-0.9164
CuIn,-0.8555,0.9971,-0.0356,1.0972,0.8313,-1.1975,0.6552,-1.0597,-0.2747,0.3263,-0.6461,-1.2566,-0.7148,-0.9164
CuIr,0.2021,0.3087,0.568,-0.6989,-0.2763,-1.1975,0.6552,0.8039,1.1024,-0.0674,-0.6461,-0.4932,-0.7148,1.0172
CuMg,-0.8555,0.6758,-0.6926,0.6667,0.1264,-1.8341,0.6552,-1.0597,-0.6898,-0.1962,-0.6461,-1.2566,-0.7148,-0.9164
CuMn,0.9072,-0.0584,-1.057,-0.9903,-0.2763,1.3491,0.6552,-1.0597,-1.0442,-0.4181,-0.6461,0.0158,-0.7148,-0.9164
CuMo,0.9072,-0.1502,0.7772,-0.4954,-0.2763,0.7125,0.6552,0.9939,0.8111,0.0472,-0.6461,0.0158,-0.7148,0.7614
CuNb,1.2597,-0.2879,0.5827,-0.119,-0.2763,0.0758,0.6552,1.7002,0.2127,-0.1318,-0.6461,0.2703,-0.7148,0.2359
CuNi,-0.1505,0.3546,-0.7786,-0.9141,-0.2763,-1.1975,0.6552,-0.5142,-0.789,-0.5684,-0.6461,-0.7476,-0.9788,-0.6438
CuOs,0.5546,0.171,1.3233,-0.7237,-0.2763,1.9858,0.6552,1.2574,2.4409,0.0257,-0.6461,-0.2387,-0.7148,2.1926
CuPb,-0.8555,1.2724,-0.2632,1.7381,1.4354,-0.5608,0.6552,-1.0597,-0.3933,0.0901,-0.6461,-1.2566,-0.7148,-0.9164
CuPd,-0.8555,0.4005,-0.6454,-0.6162,-0.2763,-0.5608,0.6552,-0.4023,-0.8482,-0.4539,-0.6461,-1.2566,-0.7148,-0.6958
CuPt,-0.503,0.4464,-0.3612,-0.5165,-0.2763,-0.5608,0.6552,0.4276,-0.4134,-0.2392,-0.6461,-1.0021,-0.7148,-0.3139
CuRe,0.9072,0.0334,1.5271,-0.6144,-0.2763,1.3491,0.6552,1.8206,0.5391,-0.0531,-0.6461,0.0158,-0.7148,0.5225
CuRh,-0.1505,0.2628,-0.1006,-0.7626,-0.2763,0.7125,0.6552,0.3209,-0.0602,-0.1962,-0.6461,-0.7476,-0.794,-0.0037
CuRu,0.2021,0.1251,0.3922,-0.7863,-0.2763,1.9858,0.6552,0.8336,0.8999,-0.0674,-0.6461,-0.4932,-0.7148,0.8394
CuS,-0.8555,1.5937,0.0195,1.2603,2.1402,0.7125,0.6552,-1.0597,-0.149,3.0393,-2.5891,-1.2566,-0.7148,-0.9164
CuSb,-0.8555,1.456,-0.667,1.7156,1.8382,0.0758,0.6552,-1.0597,-0.6042,-0.3967,-0.6461,-1.2566,-0.7148,-0.4815
CuSc,2.3173,-1.94,-0.6641,0.9356,-0.2763,-1.1975,0.6552,-1.0292,-1.0595,-0.3251,-0.6461,1.0337,-0.7148,-0.8812
CuSi,-0.8555,1.1348,-0.8332,0.1842,1.1333,-0.5608,0.6552,-0.6453,1.8296,0.2046,-1.9977,-1.2566,-0.7148,1.6558
CuSn,-0.8555,1.2265,-0.136,1.2302,1.3347,-0.5608,0.6552,-1.0597,-0.5834,-0.3967,-0.6461,-1.2566,-0.7148,-0.9164
CuTa,1.6122,-0.242,1.302,-0.1122,-0.2763,0.0758,0.6552,2.0324,0.7383,-0.0602,-0.6461,0.5247,-0.7148,0.6975
CuTc,0.9072,-0.0125,0.1564,-0.6986,-0.2763,1.3491,0.6552,0.3677,0.4759,-0.1819,-0.6461,0.0158,-0.7148,0.467
CuTi,1.9648,-0.4714,-0.4949,-0.174,-0.2763,-0.5608,0.6552,-0.1763,-1.0555,-0.2249,-0.6461,0.7792,-0.7148,-0.8777
CuTl,-0.8555,1.043,-0.2318,1.4822,0.932,-1.1975,0.6552,-1.0597,-0.3427,0.1688,-0.6461,-1.2566,-0.7148,-0.9164
CuV,1.6122,-0.3338,-0.1726,-0.7446,-0.2763,0.0758,0.6552,-0.024,-0.4674,-0.2105,-0.6461,0.5247,-0.7148,-0.3613
CuW,1.2597,-0.1043,1.8414,-0.4415,-0.2763,0.7125,0.6552,-0.1949,1.9977,0.0686,-0.6461,0.2703,-0.7148,1.8033
CuZn,-0.8555,0.7217,-0.3859,-0.5398,0.2271,-1.8341,0.6552,-1.0597,-0.5768,0.1903,-0.6461,-1.2566,-0.7148,-0.9164
CuZr,1.9648,-0.4256,-0.2458,0.6733,-0.2763,-0.5608,0.6552,0.9946,-0.5074,-0.0173,-0.6461,0.7792,-0.7148,-0.3965
FeFe,0.5546,-0.3338,-1.2718,-1.0479,-1.1826,0.7125,-0.7208,-0.7126,-1.0995,-0.7904,-0.7305,0.7792,-0.7412,-0.9016
FeAl,-0.8555,0.4923,-0.1029,-0.3229,0.6299,0.7125,-0.7208,-0.7126,-0.8514,0.0185,-0.7305,-0.2387,-0.7412,-0.9016
FeAs,-0.8555,0.9971,-0.3114,0.4491,1.7375,0.7125,-0.7208,-0.7126,-0.249,-0.5327,-1.5753,-0.2387,-0.7412,-0.1548
FeBi,-0.8555,1.0889,0.4154,2.5199,1.9389,0.7125,-0.7208,-0.7126,-0.8831,-0.6758,-0.7305,-0.2387,-0.7412,-0.9016
FeCo,0.2021,-0.1961,-1.2145,-0.9303,-0.8805,0.7125,-0.7208,-0.544,-0.9082,-0.7045,-0.7305,0.5247,-0.8996,-0.7337
FeCr,0.5546,-0.6091,-0.7803,-1.0004,-1.1826,0.7125,-0.7208,-0.7126,-0.5242,-0.2964,-0.7305,1.0337,-0.7412,-0.3965
FeGa,-0.8555,0.5382,0.737,0.131,0.7306,0.7125,-0.7208,-0.7126,-0.4414,-0.2249,-0.7305,-0.2387,-0.7412,-0.9016
FeGe,-0.8555,0.7676,-0.4731,0.5901,1.234,0.7125,-0.7208,-0.7126,0.7511,-0.3537,-1.6598,-0.2387,-0.7412,0.7235
FeIr,0.2021,-0.1043,-0.0357,-0.691,-0.6791,0.7125,-0.7208,0.8039,1.0856,-0.4038,-0.7305,0.5247,-0.7412,1.0172
FeMo,0.5546,-0.5632,0.1735,-0.4875,-1.1826,0.7125,-0.7208,0.9939,0.7943,-0.2893,-0.7305,1.0337,-0.7412,0.7614
FeNb,0.5546,-0.7009,-0.021,-0.111,-1.1826,0.7125,-0.7208,1.7002,0.1959,-0.4682,-0.7305,1.2881,-0.7412,0.2359
FeNi,-0.1505,-0.0584,-1.1612,-0.9221,-0.5784,0.7125,-0.7208,-0.5142,-0.8058,-0.6758,-0.7305,0.2703,-0.9788,-0.6438
FeP,-0.8555,0.9512,0.7178,1.4259,1.6368,0.7125,-0.7208,-0.7126,-0.721,7.4559,-2.6736,-0.2387,-0.7412,-0.5693
FePb,-0.8555,0.8594,0.3405,1.7461,1.4354,0.7125,-0.7208,-0.7126,-0.3765,0.4265,-0.7305,-0.2387,-0.7412,-0.9016
FeRh,-0.1505,-0.1502,-0.7043,-0.7547,-0.7798,0.7125,-0.7208,0.3209,-0.077,-0.5327,-0.7305,0.2703,-0.794,-0.0037
FeRu,0.2021,-0.2879,-0.2115,-0.7784,-1.0819,1.9858,-0.7208,0.8336,0.8831,-0.4038,-0.7305,0.5247,-0.7412,0.8394
FeSb,-0.8555,1.043,-0.0633,1.7235,1.8382,0.7125,-0.7208,-0.7126,-0.621,-0.7331,-0.7305,-0.2387,-0.7412,-0.4815
FeSi,-0.8555,0.7217,-1.1066,0.1921,1.1333,0.7125,-0.7208,-0.6453,1.8128,-0.1318,-1.9977,-0.2387,-0.7412,1.6558
FeSn,-0.8555,0.8135,0.4677,1.2382,1.3347,0.7125,-0.7208,-0.7126,-0.5666,-0.0602,-0.7305,-0.2387,-0.7412,-0.9016
FeTc,0.5546,-0.4256,-0.4473,-0.6907,-1.1826,1.3491,-0.7208,0.3677,0.4591,-0.5183,-0.7305,1.0337,-0.7412,0.467
FeTi,0.5546,-0.8845,-1.0986,-0.1661,-1.1826,0.7125,-0.7208,-0.1763,-1.0723,-0.5613,-0.7305,1.7971,-0.7412,-0.8777
FeV,0.5546,-0.7468,-0.7763,-0.7367,-1.1826,0.7125,-0.7208,-0.024,-0.4842,-0.547,-0.7305,1.5426,-0.7412,-0.3613
FeW,0.5546,-0.5173,1.2377,-0.4336,-1.1826,0.7125,-0.7208,-0.1949,1.9808,-0.2678,-0.7305,1.2881,-0.7412,1.8033
FeZn,-0.8555,0.3087,0.2178,-0.5319,0.2271,0.7125,-0.7208,-0.7126,-0.56,0.5268,-0.7305,-0.2387,-0.7412,-0.9016
FeCu,-0.8555,0.0793,-0.6681,-1.04,-0.2763,0.7125,-0.7208,-0.7126,-1.0827,-0.4539,-0.7305,-0.2387,-0.7412,-0.9016
FeMn,0.5546,-0.4714,-0.8828,-0.9824,-1.1826,1.3491,-0.7208,-0.7126,-1.0274,-0.0817,-0.7305,1.0337,-0.7412,-0.9016
FeAg,-0.8555,0.1251,-0.5044,-0.2505,-0.1756,0.7125,-0.7208,-0.7126,-0.8986,-0.2821,-0.7305,-0.2387,-0.7412,-0.9016
FeAu,-0.8555,0.171,-0.6408,-0.2698,-0.075,0.7125,-0.7208,-0.7126,-0.9986,-0.6186,-0.7305,-0.2387,-0.7412,-0.9016
FeCd,-0.8555,0.3546,0.349,0.4274,0.3278,0.7125,-0.7208,-0.7126,-0.4914,0.5697,-0.7305,-0.2387,-0.7412,-0.9016
FeHf,0.5546,-0.7927,-0.346,0.5311,-1.1826,0.7125,-0.7208,1.4945,-0.0281,-0.368,-0.7305,1.7971,-0.7412,0.0391
FeHg,-0.8555,0.4005,0.8284,0.8837,0.4285,0.7125,-0.7208,-0.7126,-0.1782,1.8725,-0.7305,-0.2387,-0.7412,-0.9016
FeIn,-0.8555,0.5841,0.5681,1.1051,0.8313,0.7125,-0.7208,-0.7126,-0.2579,0.6628,-0.7305,-0.2387,-0.7412,-0.9016
FeOs,0.5546,-0.242,0.7196,-0.7158,-0.9812,1.9858,-0.7208,1.2574,2.4241,-0.3108,-0.7305,0.7792,-0.7412,2.1926
FePd,-0.8555,-0.0125,-1.2491,-0.6083,-0.4777,0.7125,-0.7208,-0.4023,-0.865,-0.7904,-0.7305,-0.2387,-0.7412,-0.6958
FePt,-0.503,0.0334,-0.9649,-0.5086,-0.377,0.7125,-0.7208,0.4276,-0.4302,-0.5756,-0.7305,0.0158,-0.7412,-0.3139
FeSc,0.5546,-2.353,-1.2678,0.9436,-1.1826,0.7125,-0.7208,-0.7126,-1.0763,-0.6615,-0.7305,2.0515,-0.7412,-0.8812
FeTa,0.5546,-0.655,0.6983,-0.1043,-1.1826,0.7125,-0.7208,2.0324,0.7215,-0.3967,-0.7305,1.5426,-0.7412,0.6975
FeTl,-0.8555,0.63,0.3719,1.4901,0.932,0.7125,-0.7208,-0.7126,-0.3259,0.5053,-0.7305,-0.2387,-0.7412,-0.9016
FeZr,0.5546,-0.8386,-0.8495,0.6812,-1.1826,0.7125,-0.7208,0.9946,-0.5242,-0.3537,-0.7305,1.7971,-0.7412,-0.3965
FeRe,0.5546,-0.3797,0.9234,-0.6065,-1.1826,1.3491,-0.7208,1.8206,0.5223,-0.3895,-0.7305,1.0337,-0.7412,0.5225
IrIr,0.2021,0.1251,-1.2718,-1.0479,-0.6791,-1.1975,-0.7035,0.8039,-1.0995,-0.7904,0.1987,0.2703,-0.1867,1.0172
IrAg,-0.8555,0.3546,0.7317,-0.6074,-0.1756,-1.1975,-0.7035,0.8039,1.2864,0.1044,0.1987,-0.4932,-0.1867,1.0172
IrCd,-0.8555,0.5841,1.5851,0.0706,0.3278,-1.1975,-0.7035,0.8039,1.6936,0.9563,0.1987,-0.4932,-0.1867,1.0172
IrMo,0.2021,-0.3338,-1.0626,-0.8444,-0.6791,0.7125,-0.7035,0.9939,-0.8082,-0.6758,0.1987,0.7792,-0.1867,1.0172
IrNb,0.2021,-0.4714,-1.2571,-0.4679,-0.6791,0.0758,-0.7035,1.7002,-0.2098,-0.7259,0.1987,1.0337,-0.1867,1.0172
IrPd,-0.8555,0.2169,-0.0584,-0.9651,-0.4777,-0.5608,-0.7035,0.8039,0.8511,-0.4038,0.1987,-0.4932,-0.1867,1.0172
IrRh,-0.1505,0.0793,-0.6031,-0.9842,-0.6791,0.7125,-0.7035,0.8039,0.0631,-0.6615,-0.1392,0.0158,-0.794,1.0172
